2025-10-15 12:03:53 EEST | INFO     | 
================================================================================
2025-10-15 12:03:53 EEST | INFO     | 🔍 АНАЛИЗ: ZILUSDT | Режим: TREND | Bias: bearish
2025-10-15 12:04:02 EEST | INFO     | 📋 Проверка 16 стратегий...
2025-10-15 12:04:02 EEST | DEBUG    |   ⏭️  Donchian Breakout - отключена
2025-10-15 12:04:02 EEST | DEBUG    |   ⏭️  Squeeze Breakout - отключена
2025-10-15 12:04:02 EEST | DEBUG    |   ⏭️  ORB/IRB - отключена
2025-10-15 12:04:02 EEST | DEBUG    |   🔍 Проверка: MA/VWAP Pullback (4h)
2025-10-15 12:04:02 EEST | DEBUG    |     ❌ Объем низкий: 0.04x < 1.20x (адаптивный)
2025-10-15 12:04:02 EEST | DEBUG    |   ⚪ MA/VWAP Pullback → нет сигнала
2025-10-15 12:04:02 EEST | DEBUG    |   🔍 Проверка: Break & Retest (15m)
2025-10-15 12:04:02 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -20: ADX слишком слабый (13.9 < 20)
2025-10-15 12:04:02 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -19: ADX слишком слабый (13.4 < 20)
2025-10-15 12:04:02 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -18: ADX слишком слабый (13.8 < 20)
2025-10-15 12:04:02 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -17: ADX слишком слабый (14.6 < 20)
2025-10-15 12:04:02 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -16: ADX слишком слабый (14.7 < 20)
2025-10-15 12:04:02 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -15: ADX слишком слабый (15.7 < 20)
2025-10-15 12:04:02 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -14: ADX слишком слабый (16.7 < 20)
2025-10-15 12:04:02 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -13: ADX слишком слабый (18.1 < 20)
2025-10-15 12:04:02 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -12: ADX слишком слабый (17.5 < 20)
2025-10-15 12:04:02 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -11: ADX слишком слабый (17.0 < 20)
2025-10-15 12:04:02 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -10: ADX слишком слабый (17.7 < 20)
2025-10-15 12:04:02 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -9: ADX слишком слабый (18.3 < 20)
2025-10-15 12:04:02 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -8: ADX слишком слабый (18.3 < 20)
2025-10-15 12:04:02 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -7: ADX слишком слабый (18.1 < 20)
2025-10-15 12:04:02 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -6: ADX слишком слабый (18.2 < 20)
2025-10-15 12:04:02 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -5: ADX слишком слабый (18.9 < 20)
2025-10-15 12:04:02 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -4: ADX слишком слабый (19.8 < 20)
2025-10-15 12:04:02 EEST | DEBUG    |     ❌ Нет недавнего пробоя swing level с объемом >1.5x, расстоянием ≥0.25 ATR и ADX > 20
2025-10-15 12:04:02 EEST | DEBUG    |   ⚪ Break & Retest → нет сигнала
2025-10-15 12:04:02 EEST | DEBUG    |   ⏭️  ATR Momentum - отключена
2025-10-15 12:04:02 EEST | DEBUG    |   ⏭️  VWAP Mean Reversion - отключена
2025-10-15 12:04:02 EEST | DEBUG    |   ⏭️  Range Fade - отключена
2025-10-15 12:04:02 EEST | DEBUG    |   🔍 Проверка: Volume Profile (15m)
2025-10-15 12:04:11 EEST | DEBUG    |     ❌ Цена не около VAH/VAL (расстояние > 0.3 ATR)
2025-10-15 12:04:11 EEST | DEBUG    |   ⚪ Volume Profile → нет сигнала
2025-10-15 12:04:11 EEST | DEBUG    |   ⏭️  RSI/Stoch MR - отключена
2025-10-15 12:04:11 EEST | DEBUG    |   🔍 Проверка: Liquidity Sweep (15m)
2025-10-15 12:04:11 EEST | DEBUG    |   ⚪ Liquidity Sweep → нет сигнала
2025-10-15 12:04:11 EEST | DEBUG    |   🔍 Проверка: Order Flow (15m)
2025-10-15 12:04:20 EEST | DEBUG    |     ❌ Объем низкий: 0.25x < 1.5x
2025-10-15 12:04:20 EEST | DEBUG    |   ⚪ Order Flow → нет сигнала
2025-10-15 12:04:20 EEST | DEBUG    |   ⏭️  CVD Divergence - отключена
2025-10-15 12:04:20 EEST | DEBUG    |   ⏭️  Time-of-Day - отключена
2025-10-15 12:04:20 EEST | DEBUG    |   🔍 Проверка: Cash-and-Carry (1h)
2025-10-15 12:04:20 EEST | DEBUG    |     ❌ Стратегия отключена: нет данных funding rate
2025-10-15 12:04:20 EEST | DEBUG    |   ⚪ Cash-and-Carry → нет сигнала
2025-10-15 12:04:20 EEST | DEBUG    |   ⏭️  Market Making - отключена
2025-10-15 12:04:20 EEST | INFO     | 📈 Итого: проверено 6, пропущено 10, сигналов 0
2025-10-15 12:04:20 EEST | INFO     | ⚪ Ни одна стратегия не дала сигнал
2025-10-15 12:04:21 EEST | INFO     | 
================================================================================
2025-10-15 12:04:21 EEST | INFO     | 🔍 АНАЛИЗ: CYBERUSDT | Режим: TREND | Bias: neutral
2025-10-15 12:04:21 EEST | INFO     | 📋 Проверка 16 стратегий...
